symbol,timestamp,open,high,low,close,volume
TLT,2024-01-22,92.30,92.31,91.43,91.96,12253767
GLD,2024-01-22,196.04,197.44,196.00,197.24,7496012
SPY,2024-01-23,470.88,471.22,461.99,462.97,80883338
QQQ,2024-01-23,390.84,402.34,390.29,401.21,56532058
IWM,2024-01-23,216.87,219.19,216.64,218.50,39477712
TLT,2024-01-23,91.55,92.44,90.46,91.16,8683755
GLD,2024-01-23,196.78,200.37,196.74,199.20,4740277
SPY,2024-01-24,461.70,461.94,459.55,459.60,102795041
QQQ,2024-01-24,398.59,402.34,397.68,402.20,48227344
IWM,2024-01-24,217.94,221.37,217.81,221.28,45697268
TLT,2024-01-24,91.06,91.31,91.00,91.10,12671266
GLD,2024-01-24,198.48,201.64,197.68,201.06,5864846
SPY,2024-01-25,459.72,459.77,456.96,459.30,95965704
QQQ,2024-01-25,399.37,401.15,399.03,400.14,56918500
IWM,2024-01-25,221.38,221.70,219.87,220.55,38997774
TLT,2024-01-25,91.05,92.02,90.92,92.00,13911390
GLD,2024-01-25,201.19,203.76,201.17,203.68,7199863
SPY,2024-01-26,459.41,463.18,459.39,462.05,49785353
QQQ,2024-01-26,401.03,403.95,399.48,400.22,41484155
IWM,2024-01-26,219.52,226.58,218.68,224.76,33546697
TLT,2024-01-26,92.02,92.63,91.88,92.56,12744024
GLD,2024-01-26,204.05,207.33,204.04,206.52,7210892
SPY,2024-01-29,458.15,468.86,458.05,468.24,62229690
QQQ,2024-01-29,400.03,400.65,383.22,384.04,36918000
IWM,2024-01-29,225.86,230.38,225.43,229.79,47166745
TLT,2024-01-29,92.31,92.50,92.13,92.42,11917893
GLD,2024-01-29,205.68,208.94,205.60,208.61,9190400
SPY,2024-01-30,467.80,471.32,460.32,460.63,108845703
QQQ,2024-01-30,383.48,383.64,375.13,376.44,61242163
IWM,2024-01-30,230.39,230.61,223.71,224.29,37113634
TLT,2024-01-30,92.47,92.57,92.06,92.29,12648085
GLD,2024-01-30,208.47,209.05,205.20,207.04,8248034
SPY,2024-01-31,461.99,468.46,459.70,468.34,68689743
QQQ,2024-01-31,377.64,378.62,369.54,370.31,42014830
IWM,2024-01-31,223.69,225.16,220.08,220.82,29698864
TLT,2024-01-31,92.28,93.66,92.25,93.57,13133162
GLD,2024-01-31,206.82,206.89,203.70,204.02,7302761
SPY,2024-02-01,468.18,468.87,452.90,453.28,90794197
QQQ,2024-02-01,370.61,371.68,365.57,370.90,35398665
IWM,2024-02-01,221.65,222.06,218.65,219.09,28441186
TLT,2024-02-01,93.63,93.95,92.50,92.61,7583696
GLD,2024-02-01,204.71,204.99,204.32,204.56,8300605
SPY,2024-02-02,452.74,455.76,446.36,449.14,57783381
QQQ,2024-02-02,368.73,368.90,361.62,363.70,56985699
IWM,2024-02-02,219.03,223.55,217.87,222.14,39521022
TLT,2024-02-02,92.52,92.60,92.40,92.43,12841545
GLD,2024-02-02,204.57,206.74,204.17,206.63,7333917
SPY,2024-02-05,447.73,450.55,440.74,441.18,58218811
QQQ,2024-02-05,359.82,361.98,355.11,355.73,65705551
IWM,2024-02-05,222.60,222.90,218.58,218.58,25915674
TLT,2024-02-05,92.57,92.80,91.63,92.34,9199480
GLD,2024-02-05,207.21,207.27,206.61,206.69,9091413
SPY,2024-02-06,443.39,457.32,441.01,452.68,103899442
QQQ,2024-02-06,358.86,359.36,354.10,355.81,52675871
IWM,2024-02-06,218.25,221.38,217.33,220.56,40438746
TLT,2024-02-06,92.08,93.17,91.94,92.84,15237337
GLD,2024-02-06,207.99,208.74,205.44,205.68,7442385
SPY,2024-02-07,451.07,458.87,447.55,457.23,78252793
QQQ,2024-02-07,355.29,356.36,348.27,349.54,38084686
IWM,2024-02-07,218.25,218.65,215.59,216.40,39107980
TLT,2024-02-07,93.35,94.68,93.18,94.67,9111440
GLD,2024-02-07,206.91,206.93,204.90,205.01,8191862
SPY,2024-02-08,455.55,462.08,455.46,460.55,102750691
QQQ,2024-02-08,347.78,348.11,333.33,334.46,44383131
IWM,2024-02-08,214.98,221.66,214.30,221.49,42632923
TLT,2024-02-08,94.62,94.92,93.10,94.24,7397256
GLD,2024-02-08,205.03,205.40,203.48,204.03,6301481
SPY,2024-02-09,461.51,463.14,458.30,459.04,74912130
QQQ,2024-02-09,333.93,335.94,330.14,334.85,38860255
IWM,2024-02-09,222.72,225.18,221.13,224.99,36906111
TLT,2024-02-09,93.94,94.36,92.50,92.67,8297262
GLD,2024-02-09,203.85,205.08,202.71,204.87,8804261
SPY,2024-02-12,461.20,463.26,451.94,454.71,89922509
QQQ,2024-02-12,334.25,336.26,330.16,330.39,48056770
IWM,2024-02-12,225.63,232.25,225.58,229.68,32083502
TLT,2024-02-12,92.88,93.11,92.64,92.86,7128768
GLD,2024-02-12,205.15,208.23,205.01,208.09,5972414
SPY,2024-02-13,455.03,455.76,451.52,453.48,63861831
QQQ,2024-02-13,334.32,334.95,331.09,331.25,49954016
IWM,2024-02-13,231.03,232.25,229.43,230.25,41329516
TLT,2024-02-13,93.17,93.37,92.09,92.19,12901743
GLD,2024-02-13,207.67,207.71,206.62,207.12,7086229
SPY,2024-02-14,453.41,459.22,451.78,458.16,57712659
QQQ,2024-02-14,333.57,334.45,323.12,327.69,50445293
IWM,2024-02-14,232.18,233.14,227.55,228.83,27360951
TLT,2024-02-14,91.91,92.42,90.79,91.27,8256779
GLD,2024-02-14,206.74,207.39,205.85,206.21,9129201
SPY,2024-02-15,458.55,461.71,453.42,460.76,69540248
QQQ,2024-02-15,326.94,327.12,310.87,314.99,31993635
IWM,2024-02-15,228.55,230.21,227.84,229.66,34109156
TLT,2024-02-15,91.15,93.91,91.05,93.06,12770238
GLD,2024-02-15,206.90,206.97,203.61,204.60,8670361
SPY,2024-02-16,458.82,459.77,457.09,457.47,80365530
QQQ,2024-02-16,311.48,318.29,311.33,316.35,53555636
IWM,2024-02-16,227.50,233.67,227.28,233.33,40627075
TLT,2024-02-16,93.54,93.84,92.65,92.83,13986712
GLD,2024-02-16,203.80,204.94,202.58,203.21,8935202
SPY,2024-02-20,455.78,462.34,455.61,462.29,78762313
QQQ,2024-02-20,317.69,318.38,311.33,312.21,45068917
IWM,2024-02-20,232.62,233.88,228.79,229.10,38320786
TLT,2024-02-20,92.58,93.71,92.26,93.45,16181561
GLD,2024-02-20,203.71,204.00,203.20,203.70,9138092
SPY,2024-02-21,463.41,464.06,462.30,463.46,80977842
QQQ,2024-02-21,312.76,313.69,312.05,312.06,56192887
IWM,2024-02-21,228.88,228.95,228.47,228.72,33063335
TLT,2024-02-21,93.43,94.12,93.43,93.99,9271476
GLD,2024-02-21,203.05,204.72,203.04,204.15,10694639
SPY,2024-02-22,461.63,466.55,460.86,466.22,78729667
QQQ,2024-02-22,312.28,316.35,306.26,306.51,53674786
IWM,2024-02-22,229.53,229.89,228.50,229.46,28450610
TLT,2024-02-22,94.80,95.14,92.54,92.64,15031673
GLD,2024-02-22,203.60,206.90,203.50,205.88,6905280
SPY,2024-02-23,466.58,467.75,462.16,462.51,93955314
QQQ,2024-02-23,305.84,310.62,305.23,309.87,48265568
IWM,2024-02-23,229.03,230.38,228.20,230.33,26274980
TLT,2024-02-23,92.57,92.69,92.00,92.24,14824977
GLD,2024-02-23,204.76,206.80,204.58,205.94,6747252
SPY,2024-02-26,461.86,469.06,460.45,468.51,99438435
QQQ,2024-02-26,311.97,313.07,300.67,303.60,68236394
IWM,2024-02-26,230.17,230.37,227.37,229.31,29325775
TLT,2024-02-26,92.41,92.52,91.93,92.20,16843204
GLD,2024-02-26,205.69,206.33,205.60,206.15,7703551
SPY,2024-02-27,467.33,469.25,466.24,468.55,75080619
QQQ,2024-02-27,304.06,304.32,293.19,294.37,61588495
IWM,2024-02-27,228.53,229.82,227.92,228.03,33297219
TLT,2024-02-27,92.00,93.80,91.94,93.76,9503623
GLD,2024-02-27,206.00,206.05,205.90,205.93,7650058
SPY,2024-02-28,468.50,473.07,467.19,472.36,81287888
QQQ,2024-02-28,295.76,300.27,295.76,296.79,51337625
IWM,2024-02-28,228.24,228.31,224.24,226.78,28376418
TLT,2024-02-28,93.59,93.73,92.62,92.70,14108708
GLD,2024-02-28,205.16,207.10,204.89,206.21,7668027
SPY,2024-02-29,471.31,476.58,471.05,474.87,74612028
QQQ,2024-02-29,297.74,302.59,296.71,301.40,57843528
IWM,2024-02-29,226.22,230.64,224.06,229.64,35339439
TLT,2024-02-29,92.33,93.40,92.27,93.25,10757758
GLD,2024-02-29,205.56,206.62,204.83,206.58,9833141
SPY,2024-03-01,472.45,474.99,470.93,471.65,73437946
QQQ,2024-03-01,302.14,306.88,301.77,306.83,41387617
IWM,2024-03-01,231.59,232.20,227.92,229.56,41486192
TLT,2024-03-01,92.94,94.39,92.87,94.07,13325935
GLD,2024-03-01,206.88,207.50,202.59,202.82,9637504
SPY,2024-03-04,472.14,473.50,471.75,472.97,75783944
QQQ,2024-03-04,306.85,307.73,299.61,300.54,54518608
IWM,2024-03-04,230.46,232.10,230.11,231.56,24911084
TLT,2024-03-04,94.18,94.24,93.03,93.14,10232991
GLD,2024-03-04,202.03,202.92,201.54,202.44,7233149
SPY,2024-03-05,475.55,475.93,470.27,471.55,93508287
QQQ,2024-03-05,300.01,305.52,297.82,304.93,40958533
IWM,2024-03-05,231.02,232.46,224.70,225.52,29166822
TLT,2024-03-05,93.34,93.42,92.26,92.60,10286129
GLD,2024-03-05,203.38,203.61,202.27,202.62,9630343
SPY,2024-03-06,468.52,478.20,467.66,477.68,90575228
QQQ,2024-03-06,306.32,310.18,306.14,308.94,44393132
IWM,2024-03-06,225.95,226.05,220.88,222.16,32467872
TLT,2024-03-06,92.36,94.17,92.27,94.12,9480685
GLD,2024-03-06,202.17,204.44,202.08,203.57,7688780
SPY,2024-03-07,480.77,483.96,480.49,483.33,71715845
QQQ,2024-03-07,311.33,312.32,308.68,309.03,61061544
IWM,2024-03-07,222.23,222.76,216.20,216.51,32784702
TLT,2024-03-07,94.39,94.52,92.01,92.05,12782893
GLD,2024-03-07,203.73,205.33,203.64,203.73,8270697
SPY,2024-03-08,481.93,493.80,480.92,493.53,73085513
QQQ,2024-03-08,310.71,321.66,310.52,319.31,50325664
IWM,2024-03-08,216.89,221.02,216.23,218.92,31652921
TLT,2024-03-08,92.02,92.08,91.72,92.00,14059020
GLD,2024-03-08,203.80,203.91,202.86,202.93,6814675
SPY,2024-03-11,491.32,493.75,491.27,493.26,96580431
QQQ,2024-03-11,318.69,321.50,316.89,318.16,20195863
IWM,2024-03-11,218.00,219.22,216.12,218.50,20158129
TLT,2024-03-11,92.05,92.36,91.56,92.02,9144279
GLD,2024-03-11,202.85,203.02,199.61,200.73,7163995
SPY,2024-03-12,496.01,498.80,493.96,498.07,82177043
QQQ,2024-03-12,316.78,317.24,314.99,316.34,51812926
IWM,2024-03-12,219.14,227.67,219.05,226.42,34756175
TLT,2024-03-12,91.72,93.79,91.63,93.59,10390225
GLD,2024-03-12,201.10,202.09,199.52,202.02,4732824
SPY,2024-03-13,494.00,508.81,491.07,508.76,76525609
QQQ,2024-03-13,315.66,317.07,313.69,316.11,48232392
IWM,2024-03-13,225.91,229.35,224.27,227.82,39795149
TLT,2024-03-13,93.66,94.46,92.39,93.45,10968178
GLD,2024-03-13,202.71,207.63,201.77,207.11,10176995
SPY,2024-03-14,504.67,505.83,501.50,502.43,85827407
QQQ,2024-03-14,314.99,318.21,312.36,316.66,44410320
IWM,2024-03-14,225.42,225.50,223.02,224.06,28067794
TLT,2024-03-14,93.45,93.60,93.28,93.31,9189535
GLD,2024-03-14,207.57,207.60,204.98,205.35,9311813
SPY,2024-03-15,501.51,502.54,499.84,502.47,65987277
QQQ,2024-03-15,315.56,322.30,314.32,321.73,46087734
IWM,2024-03-15,221.87,227.36,221.49,227.13,26122734
TLT,2024-03-15,93.13,94.71,93.12,94.53,12397863
GLD,2024-03-15,206.05,206.52,205.19,206.38,10118024
SPY,2024-03-18,501.68,502.71,492.11,494.76,76201885
QQQ,2024-03-18,322.03,322.76,311.95,314.89,47523873
IWM,2024-03-18,227.64,228.59,221.06,221.98,32167604
TLT,2024-03-18,93.96,94.47,93.76,94.10,12421632
GLD,2024-03-18,206.65,207.17,206.31,207.08,11164983
SPY,2024-03-19,494.75,498.05,489.19,490.33,77401463
QQQ,2024-03-19,316.88,318.65,309.53,312.70,58303396
IWM,2024-03-19,220.36,227.83,218.18,226.34,29911862
TLT,2024-03-19,94.11,94.80,93.91,94.41,12264985
GLD,2024-03-19,206.29,206.30,204.85,205.22,11884711
SPY,2024-03-20,490.68,490.90,479.19,479.91,96013621
QQQ,2024-03-20,313.36,316.99,312.45,315.02,64704444
IWM,2024-03-20,224.19,226.74,223.07,225.69,29317343
TLT,2024-03-20,94.38,94.57,93.96,94.12,13135602
GLD,2024-03-20,205.72,205.85,203.23,203.37,7017708
SPY,2024-03-21,480.08,488.12,478.69,486.74,78262675
QQQ,2024-03-21,315.37,321.72,314.46,314.68,52027018
IWM,2024-03-21,223.45,229.08,223.20,229.05,28491130
TLT,2024-03-21,94.00,94.27,92.13,92.38,12199211
GLD,2024-03-21,203.04,203.16,201.53,201.69,7794758
SPY,2024-03-22,486.66,488.30,476.84,476.95,111916136
QQQ,2024-03-22,315.11,326.41,313.00,325.22,43723253
IWM,2024-03-22,230.29,231.01,230.14,230.49,31046755
TLT,2024-03-22,92.11,93.49,91.96,93.31,14918346
GLD,2024-03-22,203.11,204.83,202.54,204.65,8931687
SPY,2024-03-25,475.98,479.40,468.90,470.88,97626613
QQQ,2024-03-25,324.93,333.54,321.52,333.01,61186631
IWM,2024-03-25,230.89,234.01,228.60,231.26,29754975
TLT,2024-03-25,93.23,93.64,92.46,92.85,14172477
GLD,2024-03-25,204.90,206.97,204.74,206.94,8164797
SPY,2024-03-26,472.99,476.52,469.97,476.04,98205502
QQQ,2024-03-26,333.80,334.15,325.66,326.10,63125565
IWM,2024-03-26,231.11,231.54,227.89,228.16,27665364
TLT,2024-03-26,92.58,94.54,92.41,94.14,10999708
GLD,2024-03-26,207.65,207.92,207.01,207.05,7735407
SPY,2024-03-27,475.39,481.64,472.17,479.96,68466994
QQQ,2024-03-27,326.99,330.97,322.00,325.76,60358927
IWM,2024-03-27,227.93,229.00,219.70,219.97,28707922
TLT,2024-03-27,94.22,94.31,93.20,93.49,15381337
GLD,2024-03-27,206.50,206.73,205.92,205.94,10379295
SPY,2024-03-28,479.49,480.32,471.54,472.05,102162135
QQQ,2024-03-28,321.91,332.19,320.84,331.80,62910565
IWM,2024-03-28,219.14,223.43,219.03,222.94,25697488
TLT,2024-03-28,93.18,93.24,91.85,91.90,6442138
GLD,2024-03-28,205.76,207.75,204.24,206.99,9609045
SPY,2024-03-29,476.06,477.57,469.31,472.09,65327529
QQQ,2024-03-29,331.93,340.26,331.87,339.62,62490468
IWM,2024-03-29,224.87,225.57,222.09,222.70,35914412
TLT,2024-03-29,92.00,92.35,91.85,92.34,11643483
GLD,2024-03-29,207.00,207.34,203.05,203.76,5319324
SPY,2024-04-01,470.28,475.62,469.90,475.41,88976574
QQQ,2024-04-01,339.53,344.72,339.47,343.90,25188085
IWM,2024-04-01,224.32,224.61,220.51,220.93,38247306
TLT,2024-04-01,92.07,92.67,91.84,92.54,9708324
GLD,2024-04-01,204.02,204.32,202.46,203.48,8165149
SPY,2024-04-02,475.37,479.68,474.46,478.55,90189184
QQQ,2024-04-02,344.32,344.62,334.97,336.45,50605046
IWM,2024-04-02,219.37,219.58,213.36,213.82,39251632
TLT,2024-04-02,92.68,93.78,92.61,93.65,10628724
GLD,2024-04-02,203.68,205.81,203.44,205.50,9034109
SPY,2024-04-03,476.78,481.49,476.63,480.96,51788882
QQQ,2024-04-03,333.79,341.52,333.72,339.12,36863121
IWM,2024-04-03,214.08,217.82,214.05,216.90,49800943
TLT,2024-04-03,93.25,94.69,93.22,94.60,5388703
GLD,2024-04-03,205.04,206.27,203.27,204.39,9294043
SPY,2024-04-04,479.83,481.87,477.00,478.01,67842811
QQQ,2024-04-04,341.17,342.69,339.95,342.52,52144145
IWM,2024-04-04,216.30,217.75,215.05,216.98,32402216
TLT,2024-04-04,94.86,95.12,94.53,94.64,15317092
GLD,2024-04-04,204.50,207.56,204.20,206.63,8106685
SPY,2024-04-05,478.28,479.52,477.75,479.36,79035862
QQQ,2024-04-05,343.27,345.33,335.20,336.37,54111686
IWM,2024-04-05,218.84,219.53,214.00,215.49,32120724
TLT,2024-04-05,94.90,95.11,93.90,93.93,13995582
GLD,2024-04-05,207.14,211.81,206.57,210.89,6320473
SPY,2024-04-08,481.77,483.84,481.27,482.48,66335132
QQQ,2024-04-08,336.89,336.94,331.97,333.50,54943376
IWM,2024-04-08,216.28,218.73,210.34,213.19,27990505
TLT,2024-04-08,93.88,93.95,93.26,93.49,16107111
GLD,2024-04-08,210.84,210.98,209.19,209.23,10378411
SPY,2024-04-09,480.35,480.46,471.79,473.23,62954102
QQQ,2024-04-09,331.25,336.47,325.49,331.12,52263012
IWM,2024-04-09,213.07,216.05,212.91,214.91,31247539
TLT,2024-04-09,93.03,93.35,92.68,93.13,14020270
GLD,2024-04-09,209.57,209.81,208.36,208.36,9789173
SPY,2024-04-10,474.63,475.73,470.17,472.62,90591804
QQQ,2024-04-10,332.11,333.43,331.24,331.82,45003255
IWM,2024-04-10,213.49,216.89,212.43,215.95,35044797
TLT,2024-04-10,92.93,93.43,92.76,92.87,10545824
GLD,2024-04-10,208.80,209.78,206.92,208.49,8261760
SPY,2024-04-11,471.98,473.15,464.66,464.92,102371488
QQQ,2024-04-11,328.88,331.10,328.49,328.92,65566137
IWM,2024-04-11,216.02,220.98,215.23,220.11,29017876
TLT,2024-04-11,93.22,93.24,91.89,92.19,12219220
GLD,2024-04-11,210.03,210.13,207.51,207.76,9212956
SPY,2024-04-12,465.70,465.92,453.27,453.57,98275641
QQQ,2024-04-12,327.64,331.87,326.63,330.88,22076437
IWM,2024-04-12,219.28,220.34,215.26,215.92,23618490
TLT,2024-04-12,92.06,92.31,92.04,92.24,13469050
GLD,2024-04-12,206.86,208.24,205.94,207.89,6728986
SPY,2024-04-15,454.70,459.50,453.57,459.22,93825834
QQQ,2024-04-15,334.52,335.16,325.94,326.59,42386544
IWM,2024-04-15,216.41,224.70,216.18,223.76,35156603
TLT,2024-04-15,92.38,92.44,90.79,90.81,16545136
GLD,2024-04-15,208.65,208.66,204.68,204.89,10561208
SPY,2024-04-16,459.76,459.84,456.09,458.72,91768719
QQQ,2024-04-16,329.13,332.58,318.65,321.26,57852937
IWM,2024-04-16,222.75,224.44,221.16,224.35,32309626
TLT,2024-04-16,90.45,90.59,90.13,90.27,11771875
GLD,2024-04-16,204.70,205.07,204.20,204.21,6606652
SPY,2024-04-17,458.82,459.85,458.14,459.29,86936695
QQQ,2024-04-17,319.59,324.62,318.24,324.12,51535328
IWM,2024-04-17,225.16,228.93,224.74,228.46,32756975
TLT,2024-04-17,90.89,91.47,90.33,90.54,11360772
GLD,2024-04-17,204.42,204.55,203.53,203.54,6466002
SPY,2024-04-18,460.41,462.25,460.37,461.73,102405357
QQQ,2024-04-18,323.47,324.08,319.31,321.01,43127343
IWM,2024-04-18,227.99,234.07,226.87,232.95,22288621
TLT,2024-04-18,90.52,91.17,90.47,91.05,9565631
GLD,2024-04-18,203.32,209.17,202.24,207.95,8118345
SPY,2024-04-19,463.34,464.16,461.47,462.13,60270660
QQQ,2024-04-19,320.10,321.99,316.34,318.09,46761572
IWM,2024-04-19,231.79,232.46,230.54,231.99,37031853
TLT,2024-04-19,90.91,91.05,89.97,90.18,8805434
GLD,2024-04-19,207.74,209.03,207.63,208.19,4403538
SPY,2024-04-22,459.29,462.65,456.76,461.75,106265884
QQQ,2024-04-22,317.52,317.64,309.26,310.24,41154430
IWM,2024-04-22,233.65,236.35,233.11,236.29,41900410
TLT,2024-04-22,90.12,91.15,90.02,91.14,8858524
GLD,2024-04-22,207.66,208.15,207.56,207.96,5888513
SPY,2024-04-23,461.74,462.19,456.45,456.79,87719190
QQQ,2024-04-23,311.15,312.75,308.11,309.67,51885786
IWM,2024-04-23,236.43,236.69,231.33,232.09,31036447
TLT,2024-04-23,91.37,92.89,91.34,92.75,10709893
GLD,2024-04-23,207.92,209.62,207.61,209.42,9122773
SPY,2024-04-24,457.73,459.42,455.61,455.90,81610887
QQQ,2024-04-24,308.94,310.94,305.29,306.98,54582002
IWM,2024-04-24,232.56,238.38,231.92,238.12,31755521
TLT,2024-04-24,93.02,93.16,92.15,92.31,9923654
GLD,2024-04-24,208.97,209.25,207.08,207.53,6169769
SPY,2024-04-25,453.53,459.72,453.23,459.37,85338710
QQQ,2024-04-25,308.02,310.69,306.86,309.13,49292607
IWM,2024-04-25,238.98,241.23,238.28,240.62,16629385
TLT,2024-04-25,92.15,92.16,89.09,89.20,14414899
GLD,2024-04-25,207.71,209.47,207.46,209.26,9849835
SPY,2024-04-26,458.69,460.09,457.12,458.04,64345861
QQQ,2024-04-26,309.34,310.86,307.77,310.43,44099491
IWM,2024-04-26,240.53,242.19,239.69,240.15,33945254
TLT,2024-04-26,89.50,90.82,89.02,90.39,15694012
GLD,2024-04-26,209.52,210.11,209.08,210.10,5661397
SPY,2024-04-29,464.05,465.51,449.93,451.98,32557597
QQQ,2024-04-29,310.68,321.03,309.02,317.20,45123590
IWM,2024-04-29,238.56,239.14,238.27,238.89,35654452
TLT,2024-04-29,90.32,90.96,90.19,90.72,15351258
GLD,2024-04-29,210.53,211.66,209.69,209.79,11391629
SPY,2024-04-30,456.42,463.10,455.70,459.95,73819170
QQQ,2024-04-30,316.23,321.78,313.26,320.18,44816030
IWM,2024-04-30,238.75,239.90,233.48,235.00,37947084
TLT,2024-04-30,90.64,91.14,90.06,91.04,8000228
GLD,2024-04-30,210.77,213.26,210.70,213.25,5422675
SPY,2024-05-01,460.58,461.94,451.64,452.21,83403906
QQQ,2024-05-01,319.80,328.08,319.13,326.26,61188097
IWM,2024-05-01,234.47,234.58,230.88,231.10,44931985
TLT,2024-05-01,91.42,92.33,91.41,92.00,12031825
GLD,2024-05-01,213.15,215.20,212.45,214.56,10011984
SPY,2024-05-02,451.52,463.61,449.94,462.95,104962907
QQQ,2024-05-02,327.78,329.61,326.96,329.34,41272396
IWM,2024-05-02,230.52,230.54,226.32,226.39,45448875
TLT,2024-05-02,92.03,93.82,92.00,93.44,12620514
GLD,2024-05-02,214.53,215.37,214.17,215.17,11043136
SPY,2024-05-03,465.13,473.61,460.38,469.32,92267871
QQQ,2024-05-03,328.22,335.63,328.08,335.14,36145783
IWM,2024-05-03,227.30,228.96,226.90,228.63,44442954
TLT,2024-05-03,92.91,94.88,92.85,94.39,13210557
GLD,2024-05-03,215.41,216.03,214.65,215.10,8443562
SPY,2024-05-06,468.54,470.10,458.39,460.98,77874574
QQQ,2024-05-06,333.63,336.49,332.64,335.17,45111279
IWM,2024-05-06,227.51,229.43,224.63,228.75,32121476
TLT,2024-05-06,94.33,95.21,94.18,94.88,10335090
GLD,2024-05-06,215.11,215.26,211.58,212.16,8513686
SPY,2024-05-07,461.13,465.94,461.01,463.01,63420744
QQQ,2024-05-07,337.12,338.39,333.99,335.23,44628718
IWM,2024-05-07,229.98,230.24,226.53,227.21,27320732
TLT,2024-05-07,94.84,95.89,94.65,95.76,8316662
GLD,2024-05-07,212.00,212.84,211.90,212.60,6933028
SPY,2024-05-08,462.96,463.96,459.33,460.13,55985644
QQQ,2024-05-08,339.07,343.59,336.38,343.02,52596784
